CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41696986,FORDHAM ROAD BAKERY,BRONX,15,WEST FORDHAM ROAD,10468,3477586996,Bakery,10/25/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,B,10/25/2017,4/2/2019,Cycle Inspection / Re-inspection
50077731,MCDONALD'S,BRONX,1540,WESTCHESTER AVE,10472,9146027375,American,6/6/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,6/6/2018,4/2/2019,Pre-permit (Operational) / Initial Inspection
40524910,PARK BILLIARDS,BRONX,2020,WHITE PLAINS ROAD,10462,7188293051,American,12/14/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,4/2/2019,Trans Fat / Re-inspection
50051744,ORCHARD BEACH SNACK BAR SECTION #7,BRONX,1,ORCHARD BEACH RD,10464,6462294471,CafÃƒÂ©/Coffee/Tea,8/17/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,B,8/17/2016,4/2/2019,Pre-permit (Operational) / Re-inspection
50063229,LA PARRANDA BAR RESTAURANT,BRONX,2712,WHITE PLAINS RD,10467,7186841119,American,5/5/2017,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,40,,,4/2/2019,Pre-permit (Non-operational) / Initial Inspection
41118203,NATIONAL BAKERY,BRONX,944,INTERVALE AVENUE,10459,7188613671,Bakery,9/19/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,9/19/2016,4/2/2019,Cycle Inspection / Re-inspection
50043859,NEW EAST STAR,BRONX,987,WESTCHESTER AVE,10459,7185894338,Chinese,12/15/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,12/15/2015,4/2/2019,Pre-permit (Operational) / Initial Inspection
50073556,BRYAN'S BAKERY,BRONX,97,W FORDHAM RD,10468,7182203386,Bakery,1/24/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,,,4/2/2019,Pre-permit (Operational) / Initial Inspection
41461629,LOS BALBUENA RESTAURANT,BRONX,2376,RYER AVENUE,10458,3472713523,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/4/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,6,,,4/2/2019,Cycle Inspection / Compliance Inspection
41589951,DOUBLE DRAGON,BRONX,4184,WHITE PLAINS ROAD,10466,7186542833,Chinese,8/9/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,,,4/2/2019,Cycle Inspection / Initial Inspection
41575141,TULCIMEX DELI RESTAURANT,BRONX,2559,BOSTON ROAD,10467,3478437997,Tex-Mex,10/12/2017,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65Ã‚Âº F or above within 2 hours.,Critical,32,C,10/12/2017,4/2/2019,Cycle Inspection / Re-inspection
50003077,LAURA'S PIZZA,BRONX,3073,BAILEY AVE,10463,7184321313,Italian,10/25/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,22,,,4/2/2019,Cycle Inspection / Initial Inspection
50036694,S & R LE JUICE BAR,BRONX,254B,E GUNHILL RD,10467,3479645685,"Juice, Smoothies, Fruit Salads",11/4/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,10,A,11/4/2015,4/2/2019,Cycle Inspection / Initial Inspection
50037680,TILILA BAR & GRILL,BRONX,3648,BAILEY AVE,10463,9292224968,Spanish,3/2/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,4/2/2019,Cycle Inspection / Initial Inspection
41246655,"DUNKIN' DONUTS, BASKIN ROBBINS",BRONX,274,EAST  149 STREET,10451,7182921478,Donuts,3/25/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,3/25/2019,4/2/2019,Cycle Inspection / Initial Inspection
50036454,MOSS CAFE,BRONX,3260,JOHNSON AVE,10463,3472755000,Jewish/Kosher,11/1/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,44,,,4/2/2019,Cycle Inspection / Initial Inspection
41512397,TWO GRANDPA'S PIZZA,BRONX,1839,GRAND CONCOURSE,10453,3472697375,Pizza/Italian,1/4/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,29,,,4/2/2019,Cycle Inspection / Initial Inspection
50047727,NYLC LOUNGE,BRONX,2450,GRAND CONCOURSE,10458,9174761323,CafÃƒÂ©/Coffee/Tea,8/10/2016,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,8/10/2016,4/2/2019,Pre-permit (Operational) / Re-inspection
41060947,EL TIMBIRICHI RESTAURANT,BRONX,168,EAST  174 STREET,10457,3472843310,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/18/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,10,A,9/18/2017,4/2/2019,Cycle Inspection / Initial Inspection
50034232,RELISH CATERERS,BRONX,2501,3RD AVE,10451,2122281672,American,4/19/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,4/19/2018,4/2/2019,Cycle Inspection / Re-inspection
40932933,RAMBLING HOUSE,BRONX,4292,KATONAH AVE,10470,7187984510,Irish,2/11/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,7,A,2/11/2019,4/2/2019,Cycle Inspection / Re-inspection
50068083,PAULETTE & DANNY JAMAICAN REST.,BRONX,2119,GRAND CONCOURSE,10453,7187086729,Caribbean,3/26/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,26,,,4/2/2019,Cycle Inspection / Initial Inspection
50084206,NO 1 CHINESE RESTAURANT,BRONX,301,E 204TH ST,10467,7185156925,Chinese,12/8/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,B,12/8/2018,4/2/2019,Pre-permit (Operational) / Re-inspection
40917970,FOOD HUT RESTAURANT & BAKERY,BRONX,3497,BOSTON ROAD,10469,7188823347,Caribbean,4/10/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,4/10/2017,4/2/2019,Cycle Inspection / Re-inspection
50066372,NEW GREEN DRAGON,BRONX,4111,E TREMONT AVE,10465,7185973600,Chinese,10/27/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,10/27/2017,4/2/2019,Pre-permit (Operational) / Re-inspection
41271417,SOUTH OF FRANCE,BRONX,1800,WESTCHESTER AVENUE,10472,7188231133,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/9/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,28,,,4/2/2019,Cycle Inspection / Initial Inspection
41236310,TROPICAL BAR RESTAURANT,BRONX,64,EAST  183 STREET,10453,3477262553,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/19/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,5/19/2016,4/2/2019,Cycle Inspection / Initial Inspection
41418789,THE ORIGINAL EMILIO'S PIZZA,BRONX,3843,EAST TREMONT AVENUE,10465,7184090929,Pizza,9/27/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,9/27/2017,4/2/2019,Cycle Inspection / Re-inspection
40397574,DOMINICK'S BAR & RESTAURANT,BRONX,2335,ARTHUR AVENUE,10458,7187332807,Italian,10/23/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,31,C,10/23/2017,4/2/2019,Cycle Inspection / Re-inspection
50051354,EL VALLE,BRONX,733A,E TREMONT AVE,10457,7182994900,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/2/2018,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,12,,,4/2/2019,Cycle Inspection / Initial Inspection
50043970,LA ISLA CUCHIFRITOS,BRONX,510,WILLIS AVE,10455,7184147213,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/30/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,,,4/2/2019,Cycle Inspection / Initial Inspection
41576522,EL NUEVO VALLE #2 RESTAURANT LECHONERA,BRONX,855,EAST  180 STREET,10460,7182209591,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/2/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/2/2017,4/2/2019,Cycle Inspection / Re-inspection
50037770,OASIS RESTAURANT & BAR,BRONX,4653,WHITE PLAINS RD,10470,7187086800,Caribbean,7/14/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,60,,,4/2/2019,Cycle Inspection / Initial Inspection
41565678,CHECKERS,BRONX,260,EAST  161 STREET,10451,7185857777,Hamburgers,12/13/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,12/13/2018,4/2/2019,Cycle Inspection / Initial Inspection
41661089,JOHNSON BAR-B-Q,BRONX,790,E 163RD ST,10456,7184508181,Soul Food,7/12/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,7/12/2017,4/2/2019,Cycle Inspection / Initial Inspection
50047794,PARILLA LATINA,BRONX,5523,BROADWAY,10463,7185436300,Spanish,7/31/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,B,7/31/2018,4/2/2019,Cycle Inspection / Re-inspection
40705983,MI PUEBLITO BAKERY/COMIDA TIPICA MEXICANA,BRONX,111,EAST  167 STREET,10452,7185884023,Mexican,4/17/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,7,A,4/17/2017,4/2/2019,Cycle Inspection / Re-inspection
41575838,GOLD STAR JERK CENTER,BRONX,3768,WHITE PLAINS ROAD,10467,7186555585,Caribbean,7/23/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,73,,,4/2/2019,Cycle Inspection / Initial Inspection
41536647,HAVANA CAFE,BRONX,3151,EAST TREMONT AVENUE,10461,7185181800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/28/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,4/2/2019,Cycle Inspection / Initial Inspection
40385680,EASTWOOD MANOR,BRONX,3371,EASTCHESTER ROAD,10469,7186544200,American,11/17/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,4/2/2019,Smoke-Free Air Act / Initial Inspection
50014821,RED ROBIN GOURMET BURGERS AND BREW,BRONX,200,BAYCHESTER AVE,10475,3475844966,American,4/25/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,B,4/25/2018,4/2/2019,Cycle Inspection / Re-inspection
50046701,MOUNT HOPE BAKERY,BRONX,9,MOUNT HOPE PL,10453,7184664514,Bakery,2/26/2019,Violations were cited in the following area(s).,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",Not Critical,27,,,4/2/2019,Cycle Inspection / Initial Inspection
40663973,PEPE JOE'S PIZZERIA,BRONX,722,COURTLAND AVENUE,10451,7185854922,Pizza/Italian,11/16/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,31,,,4/2/2019,Cycle Inspection / Initial Inspection
50056510,GINBO'S HAMBURGER HOUSE,BRONX,118,E 170TH ST,10452,3479634644,Hamburgers,11/14/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,11/14/2018,4/2/2019,Cycle Inspection / Re-inspection
50000548,NEW GOOD TASTE CHINESE RESTAURANT,BRONX,281,E 161 ST,10451,9173269378,Chinese,7/9/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,32,C,7/9/2018,4/2/2019,Cycle Inspection / Re-inspection
40849624,DOMINO'S,BRONX,2463,WEBSTER AVENUE,10458,7183655430,Pizza,3/14/2019,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,3/14/2019,4/2/2019,Cycle Inspection / Re-inspection
41698598,LULU JUICY FRUIT,BRONX,550,SOUTHERN BOULEVARD,10455,3478625316,Sandwiches/Salads/Mixed Buffet,7/12/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,42,C,7/12/2018,4/2/2019,Cycle Inspection / Re-inspection
50087226,MCDONALDS,BRONX,86,E 167TH ST,10452,7325159898,Hamburgers,2/15/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,39,,,4/2/2019,Pre-permit (Operational) / Initial Inspection
50044577,BURGER KING,BRONX,961,E 174TH ST,10460,6468352890,Sandwiches,5/31/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,6,,,4/2/2019,Cycle Inspection / Initial Inspection
50065159,DELFINI,BRONX,500,TIFFANY ST,10474,7189911337,American,6/2/2018,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,13,A,6/2/2018,4/2/2019,Cycle Inspection / Re-inspection
40875290,SEAFOOD  CITY,BRONX,459,CITY ISLAND AVENUE,10464,7188853600,Seafood,4/11/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11,A,4/11/2018,4/2/2019,Cycle Inspection / Re-inspection
50065555,FIVE STAR PIZZA & BURGERS,BRONX,295,E GUN HILL RD,10467,3478437342,Pizza,9/20/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,9/20/2018,4/2/2019,Cycle Inspection / Re-inspection
41649416,ADAYA AFRICAN AMERICAN RESTAURANT,BRONX,1715,WEBSTER AVENUE,10457,7187317992,African,11/1/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,11/1/2018,4/2/2019,Cycle Inspection / Initial Inspection
50066372,NEW GREEN DRAGON,BRONX,4111,E TREMONT AVE,10465,7185973600,Chinese,6/19/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,6/19/2018,4/2/2019,Cycle Inspection / Initial Inspection
50036454,MOSS CAFE,BRONX,3260,JOHNSON AVE,10463,3472755000,Jewish/Kosher,6/11/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,6/11/2018,4/2/2019,Cycle Inspection / Initial Inspection
40926214,LA MONEDA RESTAURANT,BRONX,1690,JEROME AVENUE,10453,7189012787,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/22/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,1/22/2016,4/2/2019,Cycle Inspection / Re-inspection
41422704,BRONX ALEHOUSE,BRONX,216,WEST  238 STREET,10463,7186010204,American,9/22/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,12,A,9/22/2016,4/2/2019,Cycle Inspection / Re-inspection
50042777,NABAYA AFRICAN AMERICAN RESTUARANT,BRONX,860,MELROSE AVE,10451,7184012283,African,12/22/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,51,,,4/2/2019,Cycle Inspection / Initial Inspection
50033511,DALE DINER,BRONX,189,W 231ST ST,10463,7185494445,American,3/17/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,17,,,4/2/2019,Cycle Inspection / Initial Inspection
41337363,1617-A NATIONAL BAKERY,BRONX,1617,WESTCHESTER AVENUE,10472,7188930660,Bakery,6/22/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,19,,,4/2/2019,Cycle Inspection / Initial Inspection
50055402,CURRY & KEBAB,BRONX,3111,BAINBRIDGE AVE,10467,9176916292,Indian,7/5/2018,Establishment re-closed by DOHMH,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,,,4/2/2019,Cycle Inspection / Reopening Inspection
41372259,ANN & TONY'S RESTAURANT,BRONX,2407,ARTHUR AVENUE,10458,7189331469,Italian,2/19/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,2/19/2019,4/2/2019,Cycle Inspection / Initial Inspection
50043897,GOLDEN RING,BRONX,4342,WHITE PLAINS RD,10466,7183245794,Caribbean,1/17/2019,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,23,,,4/2/2019,Cycle Inspection / Initial Inspection
41720417,NUTRICION SALUD Y VIDA,BRONX,650,MELROSE AVENUE,10455,3475951953,Other,4/19/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6,A,4/19/2016,4/2/2019,Cycle Inspection / Initial Inspection
41612549,DUNKIN' DONUTS,BRONX,1752,CROSBY AVENUE,10461,3474789993,Donuts,3/15/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,3/15/2016,4/2/2019,Cycle Inspection / Re-inspection
50045596,NEW CHINA,BRONX,5690,MOSHOLU AVE,10471,7188841111,Chinese,3/18/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,36,,,4/2/2019,Cycle Inspection / Initial Inspection
50018504,MERRY LAND BUFFET,BRONX,505,E 163RD ST,10451,7182923455,Chinese,3/17/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,43,,,4/2/2019,Cycle Inspection / Initial Inspection
41418537,T.G.I. FRIDAY'S,BRONX,17501780,EAST GUN HILL ROAD,,7186717920,American,9/21/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,4/2/2019,Cycle Inspection / Initial Inspection
50083071,AMERICAN FIESTA RESTAURANT,BRONX,120,E 144TH ST,10451,3478977499,Spanish,3/26/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,49,Not Yet Graded,,4/2/2019,Cycle Inspection / Initial Inspection
50083071,AMERICAN FIESTA RESTAURANT,BRONX,120,E 144TH ST,10451,3478977499,Spanish,9/25/2018,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,15,,,4/2/2019,Pre-permit (Non-operational) / Initial Inspection
50012181,TWO BROTHERS PIZZA,BRONX,3039,BUHRE AVE,10461,7188246261,Pizza,8/21/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,8/21/2018,4/2/2019,Cycle Inspection / Re-inspection
41609236,LUNG FONG  RESTAURANT,BRONX,870,EAST  180 STREET,10460,7182201332,Chinese,8/1/2018,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,33,,,4/2/2019,Cycle Inspection / Initial Inspection
41704965,PIZZA HUT,BRONX,2013,WESTCHESTER AVENUE,10462,7188222909,Pizza,11/9/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,,,4/2/2019,Cycle Inspection / Initial Inspection
50067048,NEW ORIENTAL HOUSE,BRONX,565,E 184TH ST,10458,7185638888,Chinese,8/14/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,,,4/2/2019,Pre-permit (Operational) / Initial Inspection
50016546,JADE JOY,BRONX,1642,BRUCKNER BLVD,10473,7189916561,Chinese,11/15/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,14,B,11/15/2016,4/2/2019,Cycle Inspection / Re-inspection
50042670,JEROME AVENUE GRILL,BRONX,2501,JEROME AVE,10468,7866834555,American,11/9/2016,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,4/2/2019,Administrative Miscellaneous / Initial Inspection
41286915,PIZZA HUT,BRONX,2829,EDSON AVENUE,10469,7183200126,Pizza,3/24/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,3/24/2016,4/2/2019,Cycle Inspection / Initial Inspection
41117697,WENDY'S,BRONX,19,WEST  170 STREET,10452,7186810483,Hamburgers,4/11/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24,,,4/2/2019,Cycle Inspection / Initial Inspection
41233053,LA CABANA SALVADORENA,BRONX,3150,VILLA AVENUE,10468,7184676810,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/18/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,36,,,4/2/2019,Cycle Inspection / Initial Inspection
50073418,CACHAPA CACHAPA,BRONX,1903,BATHGATE AVE,10457,3473290673,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/28/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,67,,,4/2/2019,Cycle Inspection / Re-inspection
50065555,FIVE STAR PIZZA & BURGERS,BRONX,295,E GUN HILL RD,10467,3478437342,Pizza,3/27/2019,Violations were cited in the following area(s).,20A,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical,,,,4/2/2019,Administrative Miscellaneous / Initial Inspection
50065318,HABANERO MEXICAN CUISINE,BRONX,141,LINCOLN AVE,10454,7186881600,Mexican,11/2/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,14,,,4/2/2019,Cycle Inspection / Initial Inspection
40512746,CROWN DINER,BRONX,79,EAST  161 STREET,10451,7185380309,American,6/19/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,54,C,6/19/2018,4/2/2019,Cycle Inspection / Re-inspection
